Discipline,Main Topic,Subtopics
Português,1. Ortografia,"1.1 Grafia e Emprego de Iniciais Maiúsculas, 1.2 Parônimos e Homônimos, 1.3 Emprego do hífen, 1.4 Acentuação Gráfica: Proparoxítonas, Paroxítonas, Oxítonas e Hiatos, 1.5 Acentuação Gráfica: acento diferencial"
Português,2. Morfologia,"2.1 Estrutura das Palavras: Radical, Desinência, Prefixo e Sufixo, 2.2 Formação das Palavras: Composição, Derivação, Hibridismo, Onomatopeia e Abreviação, 2.3 Artigos, 2.4 Numerais, 2.5 Substantivos, 2.6 Adjetivos, 2.7 Advérbios, 2.8 Preposições, 2.9 Conjunções: Relação de causa e consequência, 2.10 Interjeições"
Português,3. Morfologia - Verbos,"3.1 Estrutura do verbo (radical, vogal temática, desinências), 3.2 Flexão verbal de tempo (presente, pretérito, futuro), 3.3 Flexão verbal de modo (indicativo, subjuntivo, imperativo), 3.4 Flexão verbal de número (singular, plural), 3.5 Flexão verbal de pessoa (1ª, 2ª, 3ª pessoa), 3.6 Flexão de voz (ativa, passiva, reflexiva), 3.7 Formas nominais do verbo (particípio, gerúndio, infinitivo), 3.8 Formação do imperativo, 3.9 Verbos auxiliares, 3.10 Emprego do infinitivo (Infinitivo impessoal, Infinitivo  pessoal), 3.11 Locução Verbal, 3.12 Classificação dos verbos (Regulares, Irregulares, Defectivos, Abundantes, Unipessoais, Pronominais)"
Português,4. Morfologia - Pronomes,"4.1 Pronomes pessoais retos, 4.2 Pronomes pessoais oblíquos, 4.3 Pronome de tratamento, 4.4 Pronomes possessivos, 4.5 Pronomes demonstrativos, 4.6 Pronomes relativos, 4.7 Pronomes Indefinidos, 4.8 Pronomes Interrogativos, 4.9 Colocação Pronominal"
Português,5. Sintaxe,"5.1 Análise sintática, 5.2 Termos essenciais da oração: Sujeito e Predicado, 5.3 Termos integrantes da oração: Objeto direto, Objeto indireto, Complemento nominal, Agente da Passiva, 5.4 Termos integrantes da oração: predicativo do sujeito e predicativo do objeto, 5.5 Vocativo e Termos Acessórios da Oração: Adjunto Adnominal, Diferença entre Adjunto Adnominal e Complemento Nominal, Adjunto Adverbial e Aposto, 5.6 Regência, 5.7 Concordância verbal, Concordância nominal, 5.8 Orações coordenadas assindéticas, 5.9 Uso dos conectivos, 5.10 Orações coordenadas sindéticas: Aditivas, Adversativas, Alternativas, Conclusivas..., 5.11 Orações subordinadas adjetivas: Restritivas, Explicativas, 5.12 Orações subordinadas substantivas: Subjetivas, Objetivas diretas, Objetivas indiretas..., 5.13 Orações subordinadas adverbiais: Causal, Comparativa, Consecutiva, Concessiva, Condicional..., 5.14 Orações subordinadas reduzidas"
Português,6. Pontuação,"6.1 Uso da Vírgula, 6.2 Uso do ponto e vírgula, 6.3 Uso do ponto, do ponto de exclamação e do ponto de interrogação, 6.4 Uso dos dois-pontos, 6.5 Uso das reticências, 6.6 Uso das aspas, 6.7 Parênteses, 6.8 Travessão, 6.9 Orações Intercaladas"
Português,7. Funções morfossintáticas da palavra SE,
Português,8. Funções morfossintáticas da palavra QUE,8.1 Funções morfossintáticas da palavra QUE
Português,9. Funções morfossintáticas da palavra COMO,9.1 Funções morfossintáticas da palavra COMO
Português,10. Funções morfossintáticas da palavra ATÉ,
Português,11. Funções morfossintáticas da palavra SÓ,
Português,12. Funções morfossintáticas da palavra MESMO,
Português,13. Crase,13.1 Crase
