rank,title,year,duration,AgeGroup,rating,votes
1,Um Sonho de Liberdade,1994,2h 22m,16,9.3,3
2,O Poderoso Chefão,1972,2h 55m,14,9.2,2
3,Batman: O Cavaleiro das Trevas,2008,2h 32m,12,9.0,3
4,O Poderoso Chefão: Parte II,1974,3h 22m,14,9.0,1
5,12 Homens e uma Sentença,1957,1h 36m,Livre,9.0,915
6,O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,12,9.0,2
7,A Lista de Schindler,1993,3h 15m,14,9.0,1
8,Pulp Fiction: Tempo de Violência,1994,2h 34m,18,8.9,2
9,O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,12,8.9,2
10,Três Homens em Conflito,1966,2h 41m,14,8.8,846
11,Forrest Gump: O Contador de Histórias,1994,2h 22m,14,8.8,2
12,O Senhor dos Anéis: As Duas Torres,2002,2h 59m,12,8.8,1
13,Clube da Luta,1999,2h 19m,18,8.8,2
14,A Origem,2010,2h 28m,14,8.8,2
15,Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,Livre,8.7,1
16,Matrix,1999,2h 16m,14,8.7,2
17,Os Bons Companheiros,1990,2h 25m,14,8.7,1
18,Um Estranho no Ninho,1975,2h 13m,16,8.7,1
19,Interestelar,2014,2h 49m,10,8.7,2
20,Seven - Os Sete Crimes Capitais,1995,2h 7m,14,8.6,1
21,A Felicidade Não se Compra,1946,2h 10m,Livre,8.6,524
22,Os Sete Samurais,1954,3h 27m,10,8.6,381
23,O Silêncio dos Inocentes,1991,1h 58m,14,8.6,1
24,O Resgate do Soldado Ryan,1998,2h 49m,14,8.6,1
25,Cidade de Deus,2002,2h 10m,18,8.6,831
26,À Espera de um Milagre,1999,3h 9m,18,8.6,1
27,A Vida é Bela,1997,1h 56m,Livre,8.6,772
28,O Exterminador do Futuro 2: O Julgamento Final,1991,2h 17m,14,8.6,1
29,Star Wars: Episódio IV - Uma Nova Esperança,1977,2h 1m,Livre,8.6,1
30,De Volta para o Futuro,1985,1h 56m,Livre,8.5,1
31,A Viagem de Chihiro,2001,2h 4m,Livre,8.6,899
32,O Pianista,2002,2h 30m,14,8.5,959
33,Gladiador,2000,2h 35m,14,8.5,1
34,Parasita,2019,2h 12m,16,8.5,1
35,Psicose,1960,1h 49m,14,8.5,747
36,O Rei Leão,1994,1h 28m,Livre,8.5,1
37,Túmulo dos Vagalumes,1988,1h 28m,12,8.5,342
38,Os Infiltrados,2006,2h 31m,18,8.5,1
39,Whiplash: Em Busca da Perfeição,2014,1h 46m,12,8.5,1
40,Harakiri,1962,2h 13m,16,8.6,78
41,A Outra História Americana,1998,1h 59m,16,8.5,1
42,O Grande Truque,2006,2h 10m,14,8.5,1
43,O Profissional,1994,1h 50m,14,8.5,1
44,Homem-Aranha: Através do Aranhaverso,2023,2h 20m,10,8.5,440
45,Casablanca,1942,1h 42m,Livre,8.5,627
46,Os Suspeitos,1995,1h 46m,14,8.5,1
47,Intocáveis,2011,1h 52m,14,8.5,970
48,Cinema Paradiso,1988,2h 54m,10,8.5,298
49,Tempos Modernos,1936,1h 27m,Livre,8.5,271
50,Alien - O 8º Passageiro,1979,1h 57m,14,8.5,1
51,Janela Indiscreta,1954,1h 52m,12,8.5,542
52,Era uma Vez no Oeste,1968,2h 46m,14,8.5,365
53,Django Livre,2012,2h 45m,16,8.5,1
54,Luzes da Cidade,1931,1h 27m,Livre,8.5,205
55,Apocalypse Now,1979,2h 27m,16,8.4,736
56,Duna: Parte 2,2024,2h 46m,14,8.5,607
57,Amnésia,2000,1h 53m,16,8.4,1
58,WALL·E,2008,1h 38m,Livre,8.4,1
59,Os Caçadores da Arca Perdida,1981,1h 55m,Livre,8.4,1
60,A Vida dos Outros,2006,2h 17m,12,8.4,425
61,Vingadores: Guerra Infinita,2018,2h 29m,12,8.4,1
62,Crepúsculo dos Deuses,1950,1h 50m,Livre,8.4,247
63,Homem-Aranha: No Aranhaverso,2018,1h 57m,10,8.4,720
64,Glória Feita de Sangue,1957,1h 28m,14,8.4,224
65,Testemunha de Acusação,1957,1h 56m,12,8.4,148
66,O Iluminado,1980,2h 26m,16,8.4,1
67,O Grande Ditador,1940,2h 5m,Livre,8.4,247
68,Repetente,2023,2h 27m,10,8.8,144
69,Aliens: O Resgate,1986,2h 17m,14,8.4,803
70,Bastardos Inglórios,2009,2h 33m,18,8.4,1
71,Batman: O Cavaleiro das Trevas Ressurge,2012,2h 44m,12,8.4,1
72,Viva: A Vida é uma Festa,2017,1h 45m,Livre,8.4,640
73,Amadeus,1984,2h 40m,Livre,8.4,445
74,Toy Story,1995,1h 21m,Livre,8.3,1
75,Vingadores: Ultimato,2019,3h 1m,12,8.4,1
76,Oldboy,2003,2h,16,8.3,671
77,Gênio Indomável,1997,2h 6m,14,8.3,1
78,Dr. Fantástico,1964,1h 35m,10,8.3,535
79,Beleza Americana,1999,2h 2m,14,8.3,1
80,O Barco: Inferno no Mar,1981,2h 29m,14,8.4,278
81,Coração Valente,1995,2h 58m,16,8.3,1
82,Princesa Mononoke,1997,2h 13m,12,8.3,455
83,Seu Nome,2016,1h 46m,Livre,8.4,350
84,Céu e Inferno,1963,2h 23m,Not Rated,8.4,59
85,3 Idiotas,2009,2h 50m,12,8.4,454
86,Coringa,2019,2h 2m,16,8.3,1
87,Era uma Vez na América,1984,3h 49m,18,8.3,392
88,Cafarnaum,2018,2h 6m,16,8.4,114
89,Cantando na Chuva,1952,1h 43m,Livre,8.3,271
90,Vá e Veja,1985,2h 22m,18,8.3,110
91,Réquiem para um Sonho,2000,1h 42m,18,8.3,932
92,Toy Story 3,2010,1h 43m,Livre,8.3,924
93,Star Wars: Episódio VI - O Retorno de Jedi,1983,2h 11m,Livre,8.3,1
94,A Caça,2012,1h 55m,14,8.3,384
95,Brilho Eterno de uma Mente sem Lembranças,2004,1h 48m,14,8.3,1
96,Viver,1952,2h 23m,Not Rated,8.3,95
97,2001: Uma Odisséia no Espaço,1968,2h 29m,Livre,8.3,748
98,Cães de Aluguel,1992,1h 39m,18,8.3,1
99,Se Meu Apartamento Falasse,1960,2h 5m,Livre,8.3,207
100,Incêndios,2010,2h 11m,14,8.3,223
101,Lawrence da Arábia,1962,3h 47m,14,8.3,327
102,Scarface,1983,2h 50m,18,8.3,955
103,Pacto de Sangue,1944,1h 47m,14,8.3,174
104,Intriga Internacional,1959,2h 16m,14,8.3,358
105,Fogo Contra Fogo,1995,2h 50m,14,8.3,748
106,Cidadão Kane,1941,1h 59m,Livre,8.3,479
107,Up - Altas Aventuras,2009,1h 36m,Livre,8.3,1
108,"M, o Vampiro de Dusseldorf",1931,1h 57m,12,8.3,176
